"IFC Region","Country","Number of enterprises","IFC Cumulative Commitments (US$ Thousands)","Loan & Guarantee participations Cumulative Commitments (US$ Thousands)","TOTAL","Fiscal Year","As of Date"
"East Asia and the Pacific","Cambodia",13,316463.25,155000,471463.25,"FY15","06/30/2015"
"East Asia and the Pacific","China",264,8199672.61,1830109,10029781.9,"FY15","06/30/2015"
"East Asia and the Pacific","Fiji",10,52493.22,2500,54993.22,"FY15","06/30/2015"
"East Asia and the Pacific","Indonesia",126,4068991.86,2512055,6581047.23,"FY15","06/30/2015"
"East Asia and the Pacific","Kiribati",1,1798,0,1798,"FY15","06/30/2015"
"East Asia and the Pacific","Korea, Republic of",51,868449.18,195700,1064149.18,"FY15","06/30/2015"
"East Asia and the Pacific","Lao People's Democratic Republic",13,66026.45,0,66026.45,"FY15","06/30/2015"
"East Asia and the Pacific","Malaysia",12,154868.4,5389,160257.52,"FY15","06/30/2015"
"East Asia and the Pacific","Mongolia",18,335725.36,31000,366725.36,"FY15","06/30/2015"
"East Asia and the Pacific","Myanmar",4,87140.66,0,87140.66,"FY15","06/30/2015"
"East Asia and the Pacific","Papua New Guinea",12,374518.93,25000,399518.93,"FY15","06/30/2015"
"East Asia and the Pacific","Philippines",103,2876429.26,695880,3572308.86,"FY15","06/30/2015"
"East Asia and the Pacific","Samoa",7,20096.57,0,20096.57,"FY15","06/30/2015"
"East Asia and the Pacific","Solomon Islands",2,45000,0,45000,"FY15","06/30/2015"
"East Asia and the Pacific","Thailand",86,2142267.43,1748419,3890686.77,"FY15","06/30/2015"
"East Asia and the Pacific","Timor- Leste",1,500,0,500,"FY15","06/30/2015"
"East Asia and the Pacific","Tonga",1,6787,0,6787,"FY15","06/30/2015"
"East Asia and the Pacific","Vanuatu",4,18104.05,0,18104.05,"FY15","06/30/2015"
"East Asia and the Pacific","Vietnam",54,4972039.2,253135,5225174.2,"FY15","06/30/2015"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific",45,1376564.03,0,1376564.03,"FY15","06/30/2015"
"South Asia","Bangladesh",44,2570700.71,92745,2663446.11,"FY15","06/30/2015"
"South Asia","Bhutan",4,49853.59,0,49853.59,"FY15","06/30/2015"
"South Asia","India",404,11514730.68,1743640,13258370.45,"FY15","06/30/2015"
"South Asia","Maldives",7,168250,8500,176750,"FY15","06/30/2015"
"South Asia","Nepal",27,215574.6,39000,254574.6,"FY15","06/30/2015"
"South Asia","Sri Lanka",43,668591.85,128616,797207.45,"FY15","06/30/2015"
"South Asia","Regional Investments: South Asia",12,250988.18,0,250988.18,"FY15","06/30/2015"
"Europe and Central Asia","Albania",21,487756.81,65692,553448.72,"FY15","06/30/2015"
"Europe and Central Asia","Armenia",16,343801.18,0,343801.18,"FY15","06/30/2015"
"Europe and Central Asia","Azerbaijan",27,559687.48,197930,757617.48,"FY15","06/30/2015"
"Europe and Central Asia","Belarus",19,598994.48,,,"FY15","06/30/2015"
"Europe and Central Asia","Bosnia and Herzegovina",32,345343.16,10578,355920.71,"FY15","06/30/2015"
"Europe and Central Asia","Bulgaria",26,810557.98,183647,994204.7,"FY15","06/30/2015"
"Europe and Central Asia","Croatia",22,774637.47,228199,1002836.5,"FY15","06/30/2015"
"Europe and Central Asia","Czech Republic",19,482772.92,245588,728360.84,"FY15","06/30/2015"
"Europe and Central Asia","Estonia",11,137806.09,11855,149661.07,"FY15","06/30/2015"
"Europe and Central Asia","Georgia",24,890791.4,38325,929116.65,"FY15","06/30/2015"
"Europe and Central Asia","Hungary",34,437985.38,70335,508320.21,"FY15","06/30/2015"
"Europe and Central Asia","Kazakhstan",35,1385519.99,282917,1668436.65,"FY15","06/30/2015"
"Europe and Central Asia","Kosovo",4,35802.11,0,35802.11,"FY15","06/30/2015"
"Europe and Central Asia","Kyrgyz Republic",15,123526.17,0,123526.17,"FY15","06/30/2015"
"Europe and Central Asia","Latvia",7,80966.79,35000,115966.79,"FY15","06/30/2015"
"Europe and Central Asia","Lithuania",11,95040.95,9309,104349.95,"FY15","06/30/2015"
